194400,386040,17010,,0,0,17010
40320,108000,0,,0,0,0
720,7800,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,,,,,
0,0,,,,,
0,0,,,,,
,0,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

133,219,36,0,1,2,39
1013526,1660550,227146,511,18006,18006,227146
24,25,21,9,16,16,21
0,0,0,0,0,0,0
24,25,21,9,16,16,21
96,100,84,36,64,64,84
464,500,364,84,224,224,364
2226,2450,1617,126,812,812,1617
9864,11310,6258,126,2352,2352,6258
37924,45400,20391,84,4536,4536,20391
116952,150100,49080,36,5392,5392,49080
262632,368600,73920,9,3586,3586,73920
347904,580225,58401,1,1024,1024,58401
194400,386040,17010,,0,0,17010
40320,108000,0,,0,0,0
720,7800,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,,,,,
0,0,,,,,
0,0,,,,,
,0,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

131,195,31,0,3,2,34
1013526,1660550,227146,511,18006,18006,227146
24,25,21,9,16,16,21
0,0,0,0,0,0,0
24,25,21,9,16,16,21
96,100,84,36,64,64,84
464,500,364,84,224,224,364
2226,2450,1617,126,812,812,1617
9864,11310,6258,126,2352,2352,6258
37924,45400,20391,84,4536,4536,20391
116952,150100,49080,36,5392,5392,49080
262632,368600,73920,9,3586,3586,73920
347904,580225,58401,1,1024,1024,58401
194400,386040,17010,,0,0,17010
40320,108000,0,,0,0,0
720,7800,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,0,0,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,0,,,,0
0,0,,,,,
0,0,,,,,
0,0,,,,,
,0,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

136,0,129,22,0
1136153,2047,1108762,198876,0
24,11,24,20,0
0,0,0,0,0
24,11,24,20,
81,55,90,100,
344,165,394,420,
1459,330,1777,1860,
5868,462,7444,7224,
20853,462,27678,20580,
62802,330,85060,40560,
151955,165,202205,53850,
278770,55,330877,46100,
347937,11,313885,23042,
235728,1,130784,5120,
29832,,8544,0,
500,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,0,
0,,0,,
0,,0,,
0,,0,,
0,,0,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

2014,23,1868,413,1977,418,0
18778928,198876,17751872,4307448,17586547,4307448,2047
30,20,30,27,30,27,11
0,0,0,0,0,0,0
30,20,30,27,30,27,11
124,100,129,135,129,135,55
646,420,683,693,685,693,165
3417,1860,3703,3834,3720,3834,330
17600,7224,19342,19278,19466,19278,462
82649,20580,91999,84924,92599,84924,462
340796,40560,379625,303642,381840,303642,330
1170822,53850,1290783,783243,1294980,783243,165
3157328,46100,3357778,1313607,3356402,1313607,55
6001160,23042,5965520,1266624,5925436,1266624,11
6494060,5120,5575908,531441,5467772,531441,1
1467328,0,1048504,0,1025920,0,
42968,0,17868,0,17568,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,,0,,
0,,0,,0,,
0,,0,,0,,
,,,,,,
,,,,,,
,,,,,,

18241,412,0
170991936,4307448,0
36,27,0
0,0,0
36,27,
180,135,
1140,693,
7380,3834,
46872,19278,
273612,84924,
1413360,303642,
6126120,783243,
20957220,1313607,
50725440,1266624,
70056576,531441,
20606400,0,
777600,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,,
0,,
0,,
0,,
,,
,,

18024,0,11676,11739,20,11959,0
170991936,2047,115107452,115107452,198876,115107452,2047
36,11,35,35,20,35,11
0,0,0,0,0,0,0
36,11,35,35,20,35,11
180,55,175,175,100,175,55
1140,165,1085,1085,420,1085,165
7380,330,6930,6930,1860,6930,330
46872,462,43022,43022,7224,43022,462
273612,462,245315,245315,20580,245315,462
1413360,330,1226370,1226370,40560,1226370,330
6126120,165,5109440,5109440,53850,5109440,165
20957220,55,16503375,16503375,46100,16503375,55
50725440,11,36916880,36916880,23042,36916880,11
70056576,1,43916425,43916425,5120,43916425,1
20606400,,10886400,10886400,0,10886400,
777600,,252000,252000,0,252000,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,0,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
0,,0,0,,0,
,,,,,,
,,,,,,

16182,0,10517,10471,19,10719,0
170991936,2047,115107452,115107452,198876,115107452,2047
36,11,35,35,20,35,11
